,program,L,D,var,:,Integer,Boolean,begin,end,:=,read,write,If,then,else,while,do,+,-,*,{D},TRUE,FALSE,<,>,<=,>=,=,$,PR,ID,BL,VDS,VDM,VD,IDS,TY,CS,ST,SiS,AS,RS,WS,SS,IS,EX,AE,T,F,LI,IL,BE
12,,r2, ,r2,r2, , ,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2,r2, ,r2,r2,r2,r2,r2,r2,r2, , , , , , , , , , , , , , , , , , , , , , , , 
13,,r11, ,r11,r11, , ,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11, ,r11,r11,r11,r11,r11,r11,r11, , , , , , , , , , , , , , , , , , , , , , , , 
14,,s3, ,r12,r12, , ,r5,r5,r5,r5,r5,r5,r5,r5,r5,r5,r12,r12,r12, ,r12,r12,r12,r12,r12,r12,r12,r5, ,16, , ,31,32,4, , , , , , , , , , , , , , , , 
15,,r6, , , , , ,r6,r6,r6,r6,r6,r6,r6,r6,r6,r6, , , , , , , , , , , ,r6, , , , , , , , , , , , , , , , , , , , , , , 
16,, , , ,s33, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
17,, , , , , , , ,s34, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
18,,s3, ,r12,r12, , ,s11,r18,r18,s26,s27,s29,r12,s30,s28,r12,r12,r12,r12, ,r12,r12,r12,r12,r12,r12,r12, , ,25, , , , ,4, ,24,35,18,20,21,22,19,23, , , , , , , 
19,,s3, ,r12,r12, , ,s11,r18,r18,s26,s27,s29,r12,s30,s28,r12,r12,r12,r12, ,r12,r12,r12,r12,r12,r12,r12, , ,25, , , , ,4, ,24,36,18,20,21,22,19,23, , , , , , , 
20,,r19, , , , , ,r19,r19,r19,r19,r19,r19, ,r19,r19, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
21,,r20, , , , , ,r20,r20,r20,r20,r20,r20, ,r20,r20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
22,,r21, , , , , ,r21,r21,r21,r21,r21,r21, ,r21,r21, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
23,,r26, , , , , ,r26,r26,r26,r26,r26,r26, ,r26,r26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
24,,r28, , , , , ,r28,r28,r28,r28,r28,r28, ,r28,r28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
25,, , , , , , , , ,s37, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
26,,s3, ,r12,r12, , ,r12,r12,r12,r12,r12,r12,r12,r12,r12,r12,r12,r12,r12, ,r12,r12,r12,r12,r12,r12,r12, , ,38, , , , ,4, , , , , , , , , , , , , , , , 
27,,s3,s43,s10,r12, , ,s11,r12,r12,r12,r12,r12,r12,r12,r12,r12,r12,r12,r12, ,s8,s9,r12,r12,r12,r12,r12, , ,39,42,6, , ,4, ,7, , , , , , , , , , , ,40,41, 
28,,s3,s43,s10,r12, , ,s11,r12,r12,r12,r12,r12,r12,r12,r12,r12,r12,r12,r12, ,s8,s9,r12,r12,r12,r12,r12, , ,49,45,6, , ,4, ,7, , , , , , , , ,46,47,48, ,50,44
29,,s3,s43,s10,r12, , ,s11,r12,r12,r12,r12,r12,r12,r12,r12,r12,r12,r12,r12, ,s8,s9,r12,r12,r12,r12,r12, , ,49,45,6, , ,4, ,7, , , , , , , , ,46,47,48, ,50,51
30,,s3, ,r12,r12, , ,s11,r18,r18,s26,s27,s29,r12,s30,s28,r12,r12,r12,r12, ,r12,r12,r12,r12,r12,r12,r12, , ,25, , , , ,4, ,24,52,18,20,21,22,19,23, , , , , , , 
31,,r7, , , , , ,r7,r7,r7,r7,r7,r7,r7,r7,r7,r7, , , , , , , , , , , ,r7, , , , , , , , , , , , , , , , , , , , , , , 
32,,s3, ,r12,r12, , ,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8,r12,r12,r12, ,r12,r12,r12,r12,r12,r12,r12,r8, ,16, , ,31,32,4, , , , , , , , , , , , , , , , 
33,, , , , ,s54,s55, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,53, , , , , , , , , , , , , , , 
34,,r15, , , , , ,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15, , , , , , , , , , , ,r15, , , , , , , , , , , , , , , , , , , , , , , 
35,,r16, , , , , ,r16,r16,r16,r16,r16,r16, ,r16,r16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
36,,r17, , , , , ,r17,r17,r17,r17,r17,r17, ,r17,r17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
37,,s3,s43,s10,r12, , ,s11,r12,r12,r12,r12,r12,r12,r12,r12,r12,r12,r12,r12, ,s8,s9,r12,r12,r12,r12,r12, , ,49,45,6, , ,4, ,7, , , , , , , ,56,57,47,48, ,50,58
38,,r23, , , , , ,r23,r23,r23,r23,r23,r23, ,r23,r23, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
39,,r24, , , , , ,r24,r24,r24,r24,r24,r24, ,r24,r24, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
40,,r25, , , , , ,r25,r25,r25,r25,r25,r25, ,r25,r25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
41,,r41, , , , , ,r41,r41,r41,r41,r41,r41, ,r41,r41, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42,,r42, , , , , ,r42,r42,r42,r42,r42,r42, ,r42,r42, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
43,, , , , , , , , , , , , , , , , , , , ,s59, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
44,, , , , , , , , , , , , , , , ,s60, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
45,,r46, , , , , ,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
46,, , , , , , , , , , , , , , , , ,s66,s67, , , , ,s61,s62,s63,s64,s65, , , , , , , , , , , , , , , , , , , , , , , , 
